"country","iso2c","iso3c","year","status","lastupdated","NE.TRD.GNFS.ZS","NY.GDP.MKTP.KD.ZG","BX.KLT.DINV.WD.GD.ZS","NE.EXP.GNFS.ZS","NE.IMP.GNFS.ZS","region","capital","longitude","latitude","income","lending"
"Afghanistan","AF","AFG",1983,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1982,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2021,"","2025-10-07",51.4117163747271,-20.7388393676343,0.144466946606861,14.342152797537,37.06956357719,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1981,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2005,"","2025-10-07",NA,11.2297148272859,4.36867310434287,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1985,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2022,"","2025-10-07",72.8854696086536,-6.24017199240269,NA,18.3800424016375,54.5054272070161,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1975,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1976,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2006,"","2025-10-07",NA,5.35740324748592,3.41377297323201,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2020,"","2025-10-07",46.7098945514103,-2.35110067203466,0.0649939571808755,10.4208171386207,36.2890774127896,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2023,"","2025-10-07",67.5846651516385,2.26694373649188,NA,16.8527881206002,50.7318770310383,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2024,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1984,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2019,"","2025-10-07",NA,3.91160341625552,0.124495985291258,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1986,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1987,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1988,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2007,"","2025-10-07",NA,13.8263195471281,1.93570171391636,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2017,"","2025-10-07",NA,2.6470032027451,0.274796791572807,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1990,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1991,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1977,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1978,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1979,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1980,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2009,"","2025-10-07",NA,21.3905283926492,0.45188914562189,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",1996,"","2025-10-07",NA,NA,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2012,"","2025-10-07",NA,12.7522870926697,0.285440893554571,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2013,"","2025-10-07",NA,5.60074465863221,0.239801184405551,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
